OP;CGM;CNPJ;NOME;ELEMENTO;VALOR OP;VALOR RET;TIPO RET;DATA OP
560827;;;;;46813.06;1404.39;RETENC. ISS EM LIQUIDAÇÃO;
560827;;;;;46813.06;793.89;INSS - PREST. SERV. PROPRIO;
560827;;;;;46813.06;702.2;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
560828;;;;;46925.38;1407.76;RETENC. ISS EM LIQUIDAÇÃO;
560828;;;;;46925.38;795.79;INSS - PREST. SERV. PROPRIO;
560828;;;;;46925.38;703.88;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
560829;;;;;35900;1077;RETENC. ISS EM LIQUIDAÇÃO;
560829;;;;;35900;608.82;INSS - PREST. SERV. PROPRIO;
560829;;;;;35900;538.5;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
560848;;;;;;;;
560851;;;;;;;;
560852;;;;;;;;
560854;;;;;;;;
560855;;;;;;;;
560856;;;;;;;;
560857;;;;;;;;
560858;;;;;;;;
560859;;;;;;;;
560862;;;;;;;;
560863;;;;;;;;
560865;;;;;;;;
560868;;;;;2240;112;ISS - PMVR;
560869;;;;;456;22.8;ISS - PMVR;
560870;;;;;80;4;ISS - PMVR;
560871;;;;;720;36;ISS - PMVR;
560873;;;;;1360;68;ISS - PMVR;
560875;;;;;680;34;ISS - PMVR;
560877;;;;;880;44;ISS - PMVR;
560878;;;;;2052;102.6;ISS - PMVR;
560881;;;;;32878.02;1607.74;ISS - PMVR;
560889;;;;;;;;
560890;;;;;;;;
560897;;;;;;;;
560898;;;;;;;;
560899;;;;;;;;
560900;;;;;;;;
560901;;;;;;;;
560902;;;;;;;;
560904;;;;;;;;
560905;;;;;;;;
560906;;;;;;;;
560907;;;;;3933.36;159.3;ISS - PMVR;
560908;;;;;243.4;12.17;ISS - PMVR;
560908;;;;;243.4;11.68;IRRF - PRESTADOR DE SERVIÇOS;
560909;;;;;;;;
560914;;;;;;;;
560921;;;;;4182.2;200.75;IRRF - PRESTADOR DE SERVIÇOS;
560925;;;;;78570;942.84;IRRF - FORNECIMENTO DE BENS;
560926;;;;;39285;471.42;IRRF - FORNECIMENTO DE BENS;
560927;;;;;39285;471.42;IRRF - FORNECIMENTO DE BENS;
560936;;;;;;;;
560938;;;;;;;;
560943;;;;;24944.4;299.33;IRRF - FORNECIMENTO DE BENS;
560944;;;;;24195.6;290.34;IRRF - FORNECIMENTO DE BENS;
560945;;;;;25615.2;307.38;IRRF - FORNECIMENTO DE BENS;
560946;;;;;30225;362.7;IRRF - FORNECIMENTO DE BENS;
560958;;;;;;;;
560959;;;;;;;;
560961;;;;;;;;
560974;;;;;;;;
560978;;;;;210722;4214.44;ISS - PMVR;
560978;;;;;210722;737.53;INSS PRESTADORES DE SERVIÇO PJ;
560984;;;;;6690.88;337.35;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
560993;;;;;;;;
560994;;;;;4606;69.09;IRRF - GESTAO PLENA - SUS;
560994;;;;;4606;92.12;ISS - GESTAO PLENA;
560995;;;;;;;;
561003;;;;;1600;24;IRRF - GESTAO PLENA - SUS;
561003;;;;;1600;32;ISS - GESTAO PLENA;
561004;;;;;1598711.92;90820.08;RETENC. ISS EM LIQUIDAÇÃO;
561004;;;;;1598711.92;63574.06;INSS - PREST. SERV. PROPRIO;
561004;;;;;1598711.92;87187.28;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561005;;;;;;;;
561006;;;;;;;;
561015;;;;;;;;
561018;;;;;39.36;39.36;HSJB - IRRF RETIDO EM N.F;
561021;;;;;;;;
561023;;;;;;;;
561028;;;;;;;;
561031;;;;;;;;
561032;;;;;8110;389.28;IRRF - PRESTADOR DE SERVIÇOS;
561033;;;;;13380.04;468.3;RETENC. ISS EM LIQUIDAÇÃO;
561033;;;;;13380.04;294.36;INSS - PREST. SERV. PROPRIO;
561038;;;;;;;;
561039;;;;;;;;
561040;;;;;;;;
561041;;;;;14484;9964.6;IRRF - TRABALHO PRINCIPAL PF PMVR;
561041;;;;;14484;1428.46;INSTITUTO NACIONAL DO SEGURO SOCIAL;
561042;;;;;4739.68;227.5;IRRF - PRESTADOR DE SERVIÇOS;
561043;;;;;1727.62;69.97;ISS - PMVR;
561050;;;;;;;;
561053;;;;;41.64;41.64;HSJB - IRRF RETIDO EM N.F;
561054;;;;;;;;
561057;;;;;;;;
561058;;;;;;;;
561062;;;;;;;;
561068;;;;;;;;
561073;;;;;;;;
561081;;;;;2.99;2.99;HSJB - IRRF RETIDO EM N.F;
561089;;;;;;;;
561092;;;;;;;;
561093;;;;;;;;
561095;;;;;;;;
561097;;;;;28933.2;1388.79;IRRF - GESTAO PLENA - SUS;
561098;;;;;;;;
561099;;;;;;;;
561100;;;;;;;;
561101;;;;;48.02;48.02;HSJB - IRRF RETIDO EM N.F;
561102;;;;;;161799.75;HSJB - ISS - PMVR;
561103;;;;;;48539.93;HSJB - IRRF RETIDO EM N.F;
561104;;;;;43399.8;2083.19;IRRF - GESTAO PLENA - SUS;
561104;;;;;43399.8;429.66;MULTAS E JUROS DE MORA DE OUTRAS RECEITA;
561105;;;;;39198.83;587.98;IRRF - GESTAO PLENA - SUS;
561105;;;;;39198.83;1959.94;ISS - GESTAO PLENA;
561106;;;;;10849.95;520.8;IRRF - GESTAO PLENA - SUS;
561107;;;;;;;;
561108;;;;;3782.35;188.26;IRRF - GOV ESTADO - F 193;
561109;;;;;;;;
561111;;;;;;;;
561112;;;;;8521.36;1447.37;IRRF - PMVR;
561113;;;;;;;;
561114;;;;;;;;
561118;;;;;635.29;635.29;HSJB - IRRF RETIDO EM N.F;
561121;;;;;28933.2;1388.79;IRRF - GESTAO PLENA - SUS;
561123;;;;;43399.8;2083.19;IRRF - GESTAO PLENA - SUS;
561123;;;;;43399.8;2005.08;MULTAS E JUROS DE MORA DE OUTRAS RECEITA;
561128;;;;;;;;
561133;;;;;345061.08;6197.28;IRRF - GESTAO PLENA - SUS;
561133;;;;;345061.08;20657.6;ISS - GESTAO PLENA;
561134;;;;;126138.25;1892.07;IRRF - GESTAO PLENA - SUS;
561134;;;;;126138.25;6306.91;ISS - GESTAO PLENA;
561135;;;;;;;;
561136;;;;;124916.95;1873.75;IRRF - GESTAO PLENA - SUS;
561136;;;;;124916.95;6245.85;ISS - GESTAO PLENA;
561137;;;;;145809;2187.14;IRRF - GESTAO PLENA - SUS;
561137;;;;;145809;7290.45;ISS - GESTAO PLENA;
561138;;;;;69.12;69.12;HSJB - IRRF RETIDO EM N.F;
561139;;;;;10849.95;520.8;IRRF - GESTAO PLENA - SUS;
561140;;;;;;;;
561142;;;;;;;;
561150;;;;;;;;
561151;;;;;2194.63;32.92;IRRF - GESTAO PLENA - SUS;
561151;;;;;2194.63;109.73;ISS - GESTAO PLENA;
561154;;;;;;;;
561155;;;;;73346.37;1100.2;IRRF - GESTAO PLENA - SUS;
561155;;;;;73346.37;3667.32;ISS - GESTAO PLENA;
561158;;;;;5084.02;76.26;IRRF - GESTAO PLENA - SUS;
561158;;;;;5084.02;254.2;ISS - GESTAO PLENA;
561160;;;;;17106.21;256.59;IRRF - GESTAO PLENA - SUS;
561160;;;;;17106.21;855.31;ISS - GESTAO PLENA;
561161;;;;;;;;
561162;;;;;12428.88;186.43;IRRF - GESTAO PLENA - SUS;
561162;;;;;12428.88;621.44;ISS - GESTAO PLENA;
561165;;;;;;;;
561167;;;;;5.18;5.18;HSJB - IRRF RETIDO EM N.F;
561169;;;;;4366.27;65.49;IRRF - GESTAO PLENA - SUS;
561169;;;;;4366.27;218.31;ISS - GESTAO PLENA;
561171;;;;;11446.92;171.7;IRRF - GESTAO PLENA - SUS;
561171;;;;;11446.92;572.35;ISS - GESTAO PLENA;
561176;;;;;129.4;1.94;IRRF - GESTAO PLENA - SUS;
561176;;;;;129.4;6.47;ISS - GESTAO PLENA;
561178;;;;;5659.94;84.9;IRRF - GESTAO PLENA - SUS;
561178;;;;;5659.94;283;ISS - GESTAO PLENA;
561179;;;;;;;;
561182;;;;;2503.48;37.55;IRRF - GESTAO PLENA - SUS;
561182;;;;;2503.48;125.17;ISS - GESTAO PLENA;
561183;;;;;260.06;260.06;HSJB - IRRF RETIDO EM N.F;
561186;;;;;;;;
561187;;;;;;;;
561190;;;;;;;;
561191;;;;;22.44;22.44;HSJB - IRRF RETIDO EM N.F;
561192;;;;;;;;
561194;;;;;;;;
561195;;;;;17.25;17.25;HSJB - IRRF RETIDO EM N.F;
561196;;;;;;;;
